"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Aldel Education Trust’s St. John College of Humanities & Science, St. John Technical and Educational Campus,","University of Mumbai, Mumbai ","Vevoor, Manor Road, Palghar (East), District Palghar-401 404","Palghar","Maharashtra","2(f)","2011","Bachelor's","Non-Government","Unaided"
"Govt Degree College","Sardar Patel University Mandi Himachal Pradesh","Khundian, Vill: Sihoti,  PO & Tehsil Khundian,  Distt. Kangra-176 031,","Kangra","Himachal Pradesh","2(f)","2014","Bachelor's","Government","Aided"
"Lachi Devi Mahila Mahavidyalaya","V.B.S. Purvanchal University, Jaunpur","Chakhabibullah Mitthapara, Ghazipur-233227","Ghazipur","Uttar Pradesh","2(f)","2016","Bachelor's","Non-Government","Unaided"
"A M A L College","Andhra University, Visakhapatnam","Anakapalli, District Visakhapatnam - 531 001","Visakhapatnam","Andhra Pradesh","2(f) and 12(B)","1953","Master's","Non Government",""
"A Veeriya Vendayar Memorial Sri Pushpam College","Bharathidasan University, Tiruchirapalli","Poondi, District Thanjavur","Thanjavur","Tamil Nadu","2(f) and 12(B)","1956","Bachelor's","Non Government",""
"A. K. Singh College","Nilamber-Pitamber University, Madininagar, Palamu","Vill. Japla, Dist. Palamau - 822 116, Jharkhand","","Jharkhand","2(f)","1984","Bachelor's","Non Government","Unaided"
"A. V. Patel Commerce College","Veer Narmad South Gujarat University, Surat","Bilimora, Dist. Valsad - 396 321","Valsad","Gujarat","2(f) and 12(B)","1977","Bachelor's","Non Government",""
"A.B.M. College","Ranchi University,  Ranchi","Singhbhum, Dist. Purbi Singhbhum","Purbi Singhbhum","Jharkhand","2(f) and 12(B)","1981","Bachelor's","Government",""
"A.B.M. Degree College","Acharya Nagarjuna University, Nagarjuna Nagar","Ongole, District Prakasam","Prakasam","Andhra Pradesh","2(f) and 12(B)","1981","Bachelor's","Non Government",""
"A.B.N & P.R.R. College","Adikavi Nannaya University, Rajahmundry","Kovvur – 534 350, W.G. Dist., Andhra Pradesh","","Andhra Pradesh","2(f)","1999","Master's","Non Government","Unaided"
"A.B.R. College of Engineering & Technology","Jawaharlal Nehru Technological University, Kakinada","Chinairlapadu (V),  Kangiri(M),  Dt. Prakasam-523 254","","Andhra Pradesh","2(f)","2008","Master's","Non Government","Unaided"
"A.B.R.L. Degree College","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Githini, Chandhar, Sant Kabir Nagar","Sant Kabir Nagar","Uttar Pradesh","2(f) and 12(B)","2006","Bachelor's","Non Government",""
"A.C.T. College of Engineering and Technology","Anna University, Chennai","Bukkathurai-Uthiramerur High Road, Nelvoy Village, Manduranthagam Taluk, Dist. Kancheepuram – 603 107","Kancheepuram","Tamil Nadu","2(f)","2008","Bachelor's","Non Government","Unaided"
"A.D. Biligowda First Grade College","Mysore University, Mysore","Koppa, Dist. Mandya","Mandya","Karnataka","2(f) and 12(B)","1992","Bachelor's","Non Government",""
"A.D. Mahavidyalaya","Utkal  University,  Bhubaneswar","Brahmagiri, Puri, District Puri","Puri","Odisha","2(f) and 12(B)","1986","Bachelor's","Non Government",""
"A.D. Patel Institute of Technology","Gujarat Technological University,  Ahmedabad","P.O. Box No. 52, Vitthal Udyognagar, New Vallabh Vidyanagar – 388 121","","Gujarat","2(f)","2000","Bachelor's","Non Government","Unaided"
"A.D.M. College for Women","Bharathidasan University, Tiruchirapalli","Nagapattinam, District Quaide-E-Milleth","Nagapattinam","Tamil Nadu","2(f) and 12(B)","1975","Bachelor's","Non Government",""
"A.D.P. College","Gauhati University, Guwahati","Nowgong, District Nagon","Nagaon","Assam","2(f) and 12(B)","1956","Bachelor's","Non Government",""
"A.D.V.S. First Grade College","Kuvempu University, Shankaraghatta","Sasvehally, Honnali Taluk, Dist. Devangere","Davanagere","Karnataka","2(f) and 12(B)","1990","Bachelor's","Non Government",""
"A.E.S. College","Sambalpur University, Sambalpur","Tarbha-767 016, District Sonepur","Sonbhadra","Odisha","2(f) and 12(B)","1989","Bachelor's","Non Government",""
"A.E.S. National College","Bangalore University, Bangalore","Gawribidanur, Dist. Kolar - 561 208","Kolar","Karnataka","2(f) and 12(B)","1964","Bachelor's","Non Government",""
"A.G Padmavathi College of Nursing,","Pondicherry University, Pondicherry","No. 142/3, Savarayalu Reddy Road, Bahour, Bahour Commune, Pondicherry – 607 402","","Puducherry","2(f)","2013","Bachelor's","Non Government","Unaided"
"A.G. Hashmi Degree College","Siddharth University, Kapilvastu","Utraula, Dist. Balrampur - 271 307","Balrampur","Uttar Pradesh","2(f)","2016","Bachelor's","Non Government","Unaided"
"A.G.K.M. College","Acharya Nagarjuna University, Nagarjuna Nagar","Sattenapalli, District Guntur - 522 403","Guntur","Andhra Pradesh","2(f) and 12(B)","1978","Bachelor's","Non Government",""
"A.I. Jat Heroe's Memorial College","Maharishi Dayanand  University, Rohtak","Rohtak, Dist. Rohtak","Rohtak","Haryana","2(f) and 12(B)","1944","Bachelor's","Non Government",""
"A.J. College of Education","Krishna University, Machllipatanam","Machilipatnam, District Krishna - 522 403","Krishna","Andhra Pradesh","2(f) and 12(B)","1967","Bachelor's","Non Government",""
"A.J. Institute of Management","Mangalore University, Mangalagangothri","Kottara Chowki, Bypass Road, Ashoknagar Post, Opp. Mahindra Showroom, Mangalore – 575 006","","Karnataka","2(f) and 12(B)","1999","Master's","Non Government","Unaided"
"A.J. Kalasala","Krishna University, Machllipatanam","Machilipatnam, District Krishna - 521 001","Krishna","Andhra Pradesh","2(f) and 12(B)","1949","Bachelor's","Non Government",""
"A.J.K. College of Arts & Science","Bharathiar University, Coimbatore","Palakkad Main Road, Navakkarai, Coimbatore – 641 105","Coimbatore","Tamil Nadu","2(f) and 12(B)","2007","Master's","Non Government","Unaided"
"A.K. (PG) College","Dr. B.R. Ambedkar University, Agra","Shikohabad, District Firozabad","Firozabad","Uttar Pradesh","2(f) and 12(B)","1916","Master's","Non Government",""
"A.K.K. New Law Academy","Savitribai Phule Pune University, Pune","K.B. Hidayatullah Road, Azam Campus, Camp, Pune-411 001","Pune","Maharashtra","2(f) and 12(B)","1994","Bachelor's","Non Government",""
"A.K.P. Degree College","Choudhary Charan Singh University, Meerut","Khuria, District Bulandshahr - 203 131","Bulandshahr","Uttar Pradesh","2(f) and 12(B)","1966","Master's","Non Government",""
"A.L. Choudhury College","Assam University, Silchar","Algapur, P.O. Kalibari Bazar, Dist. Hailakandi – 788 150","Hailakandi","Assam","2(f) and 12(B)","1996","Bachelor's","Non Government","Aided"
"A.M Reddy Memorial College of Pharmacy","Acharya Nagarjuna University, Guntur","Vinukonda Road,  Mastan Reddy Nagar,  Petlurivaripalem, Narasaraopet,  Guntur-522 601,  Andhra Pradesh","","Andhra Pradesh","2(f)","2004","Bachelor's","Non Government","Unaided"
"A.M. College","Magadh University, Bodh Gaya","Gaya, District Gaya","Gaya","Bihar","2(f) and 12(B)","1964","Master's","Government",""
"A.M. College of Education","Savitribai Phule Pune University, Pune","Aisha Nagar, Malegaon - 423 203, Dist. Nashik","Nashik","Maharashtra","2(f)","2004","Bachelor's","Non Government","Unaided"
"A.M. College of Law.","Dr. B.R. Ambedkar University, Agra","Daddi Gadi, Semri, Chhata, Mathura – 281 101.","Mathura","Uttar Pradesh","2(f)","2013","Bachelor's","Non Government","Unaided"
"A.M. Reddy Memorial College of Engineering and Technology (HM),","Jawaharlal Nehru Technological University, Kakinada","Vinukonda Road, Mastan Reddy Nagar,  Petlurivaripalem, Narasaraopet,  District Palnadu-522 601,","","Andhra Pradesh","2(f)","2007","Master's","Non Government","Unaided"
"A.M.C.S. College","Berhampur University, Berhampur","Tikabali, Dist. Kandhamal – 762 010","Kandhamal","Odisha","2(f) and 12(B)","1991","Bachelor's","Non Government","Aided"
"A.M.P. law College","Saurashtra University, Rajkot","Rajkot, Dist. Rajkot","Rajkot","Gujarat","2(f) and 12(B)","1978","Master's","Government",""
"A.N. College","Patliputra University, Patna","Patna, District Patna","Patna","Bihar","2(f) and 12(B)","1961","Master's","Constituent","Aided"
"A.N. Varadarjula First Grade College","Mysore University, Mysore","Gorur, Dist. Hussan","Hassan","Karnataka","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"A.N.D. College","Lalit Narayan Mithila University, Darbhanga","Shahpurpatori, Samastipur, District Samastipur","Samastipur","Bihar","2(f) and 12(B)","1960","Bachelor's","Government",""
"A.N.D. Teachers' Training College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Sitapur, District Sitapur","Sitapur","Uttar Pradesh","2(f) and 12(B)","1972","Bachelor's","Non Government",""
"A.N.P. Sanskrit Mahavidyalaya","K.S.Darbhanga Sanskrit Vishwavidyalaya, Darbhanga","Rahna Sangam, District Madhubani - 847 408","Madhubani","Bihar","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"A.N.R. College","Krishna University, Machllipatanam","Gudivada, District Krishna - 521 301","Krishna","Andhra Pradesh","2(f) and 12(B)","1950","Master's","Non Government",""
"A.N.S. College","Magadh University, Bodh Gaya","Mabinagar(Gaya), District Aurangabad","Aurangabad","Bihar","2(f) and 12(B)","1970","Bachelor's","Government",""
"A.N.S. College","Magadh University, Bodh Gaya","Barh, Patna, District Patna","Patna","Bihar","2(f) and 12(B)","1951","Master's","Government",""
"A.P. Gupta Awam Srimati Geeta Devi Mahila Mahavidyalaya","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Kasba Sangrampur, Unawal, Gorakhpur – 273 406","Gorakhpur","Uttar Pradesh","2(f) and 12(B)","2009","Bachelor's","Non Government","Unaided"
"A.P. Mahavidyalaya","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Village + Post – Laxmipur, Tehsil - Padrauna, Dist. Kushinagar – 274 303","Kushinagar","Uttar Pradesh","2(f)","2017","Bachelor's","Non Government","Unaided"
"A.P. Residential Degree College","Acharya Nagarjuna University, Nagarjuna Nagar","Nagarjunasagar, Vijayapuri South, District Guntur","Guntur","Andhra Pradesh","2(f) and 12(B)","1982","Bachelor's","Non Government",""
"A.P. Sen Memorial Girls College","Lucknow University, Lucknow","Charbagh, District Lucknow - 226 001","Lucknow","Uttar Pradesh","2(f) and 12(B)","1955","Bachelor's","Non Government",""
"A.P. Singh Mahavidyalaya","Prof. Rajendra Singh (Rajju Bhaiya) University, Prayagraj","Maharajpur, Hathigawan, Kunda, Dist. Pratapgarh – 230 201","Pratapgarh","Uttar Pradesh","2(f)","2014","Bachelor's","Non Government","Unaided"
"A.P.A. College for Women","Madurai Kamaraj University, Madurai","Palani, District Dindigul - 624 615","","Tamil Nadu","2(f) and 12(B)","1970","Master's","Non Government",""
"A.P.C. Mahalaxmi College for women","Manonmaniam Sundaranar University, Tirunelveli","Tuticorin, District Tuticorin - 628 016","","Tamil Nadu","2(f) and 12(B)","1973","Master's","Non Government","Aided"
"A.P.S. Mahavidyalaya","Dr Ram Manohar Lohia Awadh University, Faizabad","Chakrasenpur (Anand Nagar), District Ambedkar Nagar – 224 168","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"A.R. Burla Mahila Varishtha Mahavidyalaya","Solapur University, Solapur","213, Sakhar Peth, (Ashikal Maidan), Solapur – 413 005","Solapur","Maharashtra","2(f) and 12(B)","1990","Bachelor's","Non Government","Aided"
"A.R. Govindaswamy College of Arts and Commerce","Kuvempu University, Shankaraghatta","Davangere, Dist. Davangere","Davanagere","Karnataka","2(f) and 12(B)","1974","Bachelor's","Non Government",""
"A.R.C. Degree College","Siddharth University, Kapilvastu","Vill. & Post - Mooradiha Bage, Dist. Sant Kabir Nagar - 272 125","Sant Kabir Nagar","Uttar Pradesh","2(f)","2014","Bachelor's","Non Government","Unaided"
"A.R.M. First Grade College","Davangere University, Davangere","S. Nijalingappa Layout, Davangere - 577 004","Davanagere","Karnataka","2(f)","1990","Bachelor's","Non Government","Aided"
"A.R.S. Shakhida Arts & C.C. Gediwala Commerce & C.C. Home Science College","Saurashtra University, Rajkot","Linbdi, Dist. Surendranagar","","Gujarat","2(f) and 12(B)","1972","Bachelor's","Non Government",""
"A.S. College","Veer Kunwar Singh University, Arrah","Bikaramganj, Dist. Rohatas","Rohtas","Bihar","2(f) and 12(B)","1958","Bachelor's","Government",""
"A.S. College","Kashmir University, Srinagar","Srinagar, Dist. Srinagar","Kashmir","Jammu and Kashmir","2(f) and 12(B)","1942","Bachelor's","Government",""
"A.S. College","Punjab University, Chandigarh","Khanna, District Ludhiana - 141 401","Ludhiana","Punjab","2(f) and 12(B)","1946","Master's","Non Government","Aided"
"A.S. College for Women","Punjab University, Chandigarh","Khanna, District Ludhiana","Ludhiana","Punjab","2(f) and 12(B)","1973","Bachelor's","Non Government",""
"A.S. Degree College","Choudhary Charan Singh University, Meerut","Mawana, District Meerut","","Uttar Pradesh","2(f) and 12(B)","1961","Bachelor's","Non Government",""
"A.S.B.D. Memorial Degree College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Doulatyarpur, Madhoganj, Hardoi - 241 302","Hardoi","Uttar Pradesh","2(f) and 12(B)","2010","Bachelor's","Non Government","Unaided"
"A.S.N. Pharmacy College","Acharya Nagarjuna University, Nagarjuna Nagar","Burripalem Road, Nelapadu, Tenali – 522 201, Dist. Guntur","Guntur","Andhra Pradesh","2(f) and 12(B)","2004","Bachelor's","Non Government","Unaided"
"A.S.P. College of Commerce","Karnataka University, Dharwad","Bijapur, Dist. Bijapur","","Karnataka","2(f) and 12(B)","1961","Bachelor's","Non Government",""
"A.S.S. Ayurved College","Rajiv Gandhi University of Health Science, Bangalore","Hubli - 24,","","Karnataka","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"A.S.S.P. Mandal’s Maharaj J.P. Valvi Arts, Commerce & Shri. V.K.Kulkarni Science College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Dhadgaon- 425414,Taluka – Akrani, District Nandurbar","","Maharashtra","2(f) and 12(B)","1993","Bachelor's","Non Government","Aided"
"A.U. College of Engineering","Andhra University, Visakhapatnam","Visakhapatnam – 530 003","Visakhapatnam","Andhra Pradesh","2(f) and 12(B)","1933","Master's","Constituent",""
"A.V. College of Science Arts & Commerce","Osmania University, Hyderabad","PG Centre, Gayan Mahal, District Hyderabad 500 029","","Telangana","2(f) and 12(B)","1968","Master's","Non Government",""
"A.V. Kamalamma College for Women","Kuvempu University, Shankaraghatta","Davangere -2, Dist. Davangere","Davanagere","Karnataka","2(f) and 12(B)","1967","Bachelor's","Non Government",""
"A.V. Kanthamma College for Women","Mysore University, Mysore","Hassan, Dist. Hassan - 573 201","","Karnataka","2(f) and 12(B)","1968","Bachelor's","Non Government",""
"A.V.C. College","Bharathidasan University, Tiruchirapalli","Mannampandal – 609 305, Mayiladuthurai, District:- Quaide-E-Milleth","","Tamil Nadu","2(f) and 12(B)","1955","Master's","Non Government","Aided"
"A.V.P. College of Arts & Science (Co-Education),","Bharathiar University, Coimbatore","No 4, Chettipalayam, T.M Poondi (P.O.), Tirupur – 641 652,","Tirupur","Tamil Nadu","2(f)","2015","Master's","Non Government","Unaided"
"A.V.R. & S.V.R. Engineering College","Jawaharlal Nehru Technological University, Anantpur","NH – 18, Nannur (V), Orvakal Mandal, Kurnool Dist. – 518 002","Kurnool","Andhra Pradesh","2(f)","2008","Master's","Non Government","Unaided"
"A.V.V. Degree & P.G. College","Kakatiya University, Warangal","S.V.N. Road, Warangal – 506 002","Warangal","Telangana","2(f) and 12(B)","1991","Bachelor's","Non Government","Unaided"
"AAA College of Engineering and Technology","Anna University, Chennai","Kamarajar Educational Road,  Amathur Village-626 005,  Sivakasi,  Virudhunagar District","","Tamil Nadu","2(f)","2013","Bachelor's","Non Government","Unaided"
"Aadinath College of Education","Bundelkhand University, Jhansi","Vill. Maharra, Lalitpur - 284 403","Lalitpur","Uttar Pradesh","2(f) and 12(B)","2016","Bachelor's","Non Government","Unaided"
"AAER’S Asian College of Science and Commerce","Savitribai Phule Pune University, Pune","Sr. No. 28/15/16, Narhe Dhayri Road, PARI Company Chowk, Tal. Haveli, Dist. Pune-411 041","Pune","Maharashtra","2(f)","2007","Master's","Non Government","Unaided"
"Aakansha College","Mohan Lal Sukhadia University, Udaipur","Vill. Rasulpur, Babra Marg, Meerapur, Dist. Muzaffarnagar – 251 315","Muzaffarnagar","Uttar Pradesh","2(f) and 12(B)","2010","Bachelor's","Non Government","Unaided"
"Aala Hazrat Degree College","M.J.P.Rohilkhand University, Bareilly","Nainital Road, Deoranian Baheri, Dist. Bareilly - 234 203","Bareilly","Uttar Pradesh","2(f) and 12(B)","2014","Bachelor's","Non Government","Unaided"
"Aaryabhatta Kala Avam Vigyan Mahavidyalaya.","Pt. Ravishankar Shukla University, Raipur","Village - Kopra, Teh. - Rajim, Dist. Gariyaband – 493 887.","Gariaband","Chhattisgarh","2(f)","2005","Bachelor's","Non Government","Unaided"
"Aastha Educational Institute","Choudhary Charan Singh University, Meerut","NH-58, Delhi Meerut Road, Sikri Kalan, Modinagar, District Ghaziabad","","Uttar Pradesh","2(f)","2004","Bachelor's","Non Government",""
"Aayojan School of Architecture","Rajasthan Technical University,  Kota","ISI-4, RIICO Institutional Area, Sitapura, Goner Road, Near Mahatma Gandhi Hospital, Jaipur - 302 022","Jaipur","Rajasthan","2(f)","1999","Master's","Non Government","Unaided"
"Aayojan School of Architecture and Design","Savitribai Phule Pune University, Pune","Gate No. 289, Warawadi, Taluk – Purandar, Dist. Pune – 412 301","Pune","Maharashtra","2(f)","2012","Master's","Non Government","Unaided"
"Abacus Institute of Engineering and Management","Maulana Abul Kalam Azad University of Technology,  Kolkata","Natungram, Mogra, Hooghly – 712 148","","West Bengal","2(f)","2008","Bachelor's","Non Government","Unaided"
"Abasaheb Marathe Arts and New Commerce, Science College","Mumbai University, Mumbai","Raspur (Vikhare Gothane) Dist. Ratnagiri","","Maharashtra","2(f) and 12(B)","1994","Bachelor's","Non Government",""
"Abasaheb Parvekar Mahavidyalaya","Sant Gadge Baba Amravati University, Amravati","New Power House, Pandharakawada Road, Yavatmal - 445 001","Yavatmal","Maharashtra","2(f) and 12(B)","1983","Bachelor's","Non Government","Aided"
"Abbas Khan College for Women","Bangalore University, Bangalore","Hazrath hameed Shah Dargha Compound O.T.C. Road, Cubbon Pet, Bangalore - 560 002","","Karnataka","2(f) and 12(B)","1977","Bachelor's","Non Government",""
"Abdul Ahad Azad Memorial Degree","Kashmir University, Srinagar","Bemina, Dist. Srinagar","Kashmir","Jammu and Kashmir","2(f) and 12(B)","1972","Bachelor's","Government",""
"Abdul Aziz Ansari Degree College","Veer Bahadur Singh Purvanchal University, Jaunpur","Majdeeha, Shahganj, Jaunpur-223 101","","Uttar Pradesh","2(f) and 12(B)","1996","Bachelor's","Non Government","Unaided"
"Abdul Gaffar Mahavidyalaya","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Ganjmuradabad, Unnao – 209 869","Unnao","Uttar Pradesh","2(f)","2014","Bachelor's","Non Government","Unaided"
"Abdul Qaiyum Ansari College","Magadh University, Bodh Gaya","Jehanabad - 804 408","Jehanabad","Bihar","2(f) and 12(B)","1982","Bachelor's","Non Government",""
"Abdul Razaq Memorial Degree College","M.J.P.Rohilkhand University, Bareilly","Shahpur Dasar, Pakwara, Dist. Sambhal - 244 001","","Uttar Pradesh","2(f) and 12(B)","2015","Bachelor's","Non Government","Unaided"
"Abdul Razzaq Degree College","M.J.P.Rohilkhand University, Bareilly","Joya, Dist. Amroha – 244 222","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Abdul Usman Mahavidyalaya","Veer Bahadur Singh Purvanchal University, Jaunpur","Raipur (Palia), Mau – 276 129","Mau","Uttar Pradesh","2(f) and 12(B)","2011","Bachelor's","Non Government","Unaided"
"Abeda Inamdar Senior College of Arts, Science & Commerce","Savitribai Phule Pune University, Pune","2390-B, K.B. Hidayatullah Road, Azam Campus,  Pune - 411 001","Pune","Maharashtra","2(f) and 12(B)","1992","Bachelor's","Non Government",""
"ABES Engineering College","Mahamaya Technical University, Gautam Budh Nagar","Campus 1, 19th Km. Stone, Delhi – Hapur By Pass Road, NH – 24, Vijay Nagar, Ghaziabad – 201 009","Ghaziabad","Uttar Pradesh","2(f)","2000","Master's","Non Government",""
"Abha Yadav Smarak Kanya Degree College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Ramnagar, Tehsil – Meja (Near Railway Station Meja Road), Dist. Allahabad – 212 305","Allahabad","Uttar Pradesh","2(f) and 12(B)","2001","Bachelor's","Non Government","Unaided"
"Abhai Balika Mahavidyalaya","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Ranipur, Handia, Allahabad","Allahabad","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Abhay College of Commerce and Education","Mahatma Gandhi Kashi Vidyapith, Varanasi","Munderi, Chaubeypur Khurd Varanasi – 221 101,","Varanasi","Uttar Pradesh","2(f)","2015","Bachelor's","Non Government","Unaided"
"Abhay Mahavidyalaya","Mahatma Gandhi Kashi Vidyapeeth, Varanasi","Tarana, Koirajpur, Varanasi – 221 003","Varanasi","Uttar Pradesh","2(f) and 12(B)","2003","Bachelor's","Non Government","Unaided"
"Abhay Pratap Singh Degree College","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Kunwarpur Road, Bindaki, Fatehpur – 212 635","Fatehpur","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Abhay Veer Smriti Mahavidyalaya","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Udi, Etawah – 206 001","Etawah","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Abhay Yuwa Kalyan Kendra's College of Education","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Mumbai - Agra Road, Dhule - 424 004","Dhule","Maharashtra","2(f)","1986","Bachelor's","Non Government",""
"Abhay Yuwa Kalyan Kendras Arts Mahila Mahavidyalaya","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Anmol Nagar, Deopur, Dhule, Tal & Dist. Dhule – 424 002","Dhule","Maharashtra","2(f) and 12(B)","1989","Bachelor's","Non Government","Aided"
"Abhayapuri College","Gauhati University, Guwahati","Abhayapuri, District Goalpara","Goalpara","Assam","2(f) and 12(B)","1955","Bachelor's","Non Government",""
"Abhedananda Mahavidyalaya","Burdwan University, Burdwan","Sainthia, District Birbhum","Birbhum","West Bengal","2(f) and 12(B)","1965","Bachelor's","Non Government",""
"Abhimanyu Samanta Singhar College","Utkal  University,  Bhubaneswar","Abhimanyu Nagar, P.O. Abhimanyu Bala, Distt. Jaipur - 755 005","Jaipur","Odisha","2(f) and 12(B)","1991","Bachelor's","Non Government",""
"Abhinav Education Society’s College of Education","Savitribai Phule Pune University, Pune","S.No. 13, Ambegaon Budruk, Katraj-Dehu Road Bypass, Pune – 411 046","Pune","Maharashtra","2(f) and 12(B)","2004","Bachelor's","Non Government","Unaided"
"Abhinav Pragya Mahavidyalaya","Bundelkhand University, Jhansi","Lodipur Niwada, Rath Road, Hamirpur – 210 501","Hamirpur","Uttar Pradesh","2(f) and 12(B)","2007","Bachelor's","Non Government","Unaided"
"Abhinav Pragya Mahavidyalaya","Bundelkhand University, Jhansi","Sarila, Dist.-Hamirpur-210 432","Hamirpur","Uttar Pradesh","2(f) and 12(B)","2010","Bachelor's","Non Government","Unaided"
"Abhinav Pragya Mahavidyalaya","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Hardaurpur, G.T. Road(N.H.-2), Chaudagra, Distt. Fatehpur – 212 665","Fatehpur","Uttar Pradesh","2(f) and 12(B)","2005","Bachelor's","Non Government","Unaided"
"Abhinav Shetkari Shikshan Mandal’s Abhinav College of Arts, Commerce and Science","Mumbai University, Mumbai","Abhinav Education Campus, Goddeo, Bhayandar (East), Tal. & Dist. Thane - 401 105","Thane","Maharashtra","2(f) and 12(B)","2000","Bachelor's","Non Government","Aided"
"Abhinava Sewa Sansthan Mahavidyalaya","Chatrapati Sahuji Maharaj Kanpur University, Kanpur","81Q, Rajeev Puram, Kanpur – 19","","Uttar Pradesh","2(f) and 12(B)","2003","Master's","Non Government","Unaided"
"AbhinavPragya Mahavidyalaya","Bundelkhand University, Jhansi","Kumhariya, Chandaut Road, Rath, Dist. Hamirpur-210 431","Hamirpur","Uttar Pradesh","2(f) and 12(B)","2011","Bachelor's","Non Government","Unaided"
"Abhyudaya Oriental College (Evening)","Osmania University, Hyderabad","13-3-912 Jiyaguda, (Surya Vamshi Bhavan), Hyderabad - 6, District Hyderabad","Hyderabad","Telangana","2(f) and 12(B)","1972","Bachelor's","Non Government",""
"ABMS Parishad's yashwantrao Chavan Law College","Savitribai Phule Pune University, Pune","Parvati Raman, Pune - 9, Dist. Pune","Pune","Maharashtra","2(f) and 12(B)","1978","Bachelor's","Non Government",""
"Abul Kalam Azad Educational Institute","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Azad Nagar, Domariaganj,  District Siddharthnagar","Siddharthnagar","Uttar Pradesh","2(f)","1999","Bachelor's","Non Government",""
"Abul Kalam Azad Mahavidyalaya,","Dr Ram Manohar Lohia Awadh University, Faizabad","Jamuniyabagh, Vishunaga, Gonda – 271 123","Gonda","Uttar Pradesh","2(f)","2011","Bachelor's","Non Government","Unaided"
"Academy of Business Administration","Fakir Mohan University, Balasore","At - Harida, P.O. Kuruda, Dist. Balasore - 756 056","","Odisha","2(f) and 12(B)","2001","Bachelor's","Non Government","Unaided"
"ACE Engineering College","Jawaharlal Nehru Technological University, Hyderabad","Survey No. 175 & 181, Ankushapur (V), Ghatkesar (M), Ranga Reddy District – 501 301","Rangareddy","Telangana","2(f)","2007","Bachelor's","Non Government","Unaided"
"Ace Institute of Management & Technology","M.J.P.Rohilkhand University, Bareilly","6 Km. Stone, Budaun – Ujhani Road, Budaun – 243 601","Budaun","Uttar Pradesh","2(f) and 12(B)","2011","Bachelor's","Non Government","Unaided"
"Acharatlal Girdhar Lal Teachers College","Gujarat University, Ahmedabad","Ahmedabad, Dist. Ahmedabad","Ahmadabad","Gujarat","2(f) and 12(B)","1952","Master's","Non Government",""
"Acharaya Chankya Mahavidyalaya","Dr Ram Manohar Lohia Awadh University, Faizabad","Mahmoodpur, Semari, Sultanpur – 228 142","Sultanpur","Uttar Pradesh","2(f) and 12(B)","2007","Bachelor's","Non Government","Unaided"
"Achariya Arts and Science College","Pondicherry University, Pondicherry","Achariyapuram, Uruvaiyar Road, Villianur - 605 110","","Puducherry","2(f)","2004","Master's","Non Government","Unaided"
"Acharya & BM Reddy College of Pharmacy","Rajiv Gandhi University of Health Science, Bangalore","Acharya Dr. Sarvepalli Radhakrishnan Road, Soldevananhalli, Hesaraghatta Main Road, Bangalore – 560 090","Bangalore","Karnataka","2(f)","1992","Master's","Non Government","Unaided"
"Acharya B.N. Seal College","North Bengal University, Darjeeling","Cooch Behar, District Cooch Behar","","West Bengal","2(f) and 12(B)","1888","Bachelor's","Government",""
"Acharya Baldev College","Veer Bahadur Singh Purvanchal University, Jaunpur","Kopa, Patarahi, Jaunpur – 222 129","Jaunpur","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Acharya Bangalore B-School","Bangalore University, Bangalore","Andrahalli Main Road, Off Magadi Road, Bangalore – 560 091","Bangalore","Karnataka","2(f) and 12(B)","2001","Master's","Non Government","Unaided"
"Acharya College of Education","Bangalore University, Bangalore","Soldevanahalli, Hesarghatta Main Road, Bangalore – 560 107","Bangalore","Karnataka","2(f)","2004","Bachelor's","Non Government","Unaided"
