"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Govt. College of Teacher Education","Himachal Pradesh University, Shimla","Dharmshala, Dist. Kangra","","Himachal Pradesh","2(f) and 12(B)","1986","Bachelor's","Government",""
"Govt. College of Teacher Education","Dibrugarh University, Dibrugarh","Jonaki Nagar, P.O. Golaghat, Dist. Golaghat – 785 621","Golaghat","Assam","2(f) and 12(B)","1990","Bachelor's","Government","Aided"
"Govt. College of Teachers Education","Gauhati University, Guwahati","Kokrajhar, District Kokrajhar","Kokrajhar","Assam","2(f) and 12(B)","1971","Bachelor's","Government",""
"Govt. College(Co-Education)","Guru Nanak Dev University, Amritsar","Jullundur, District Jalandhar","","Punjab","2(f) and 12(B)","1961","Bachelor's","Government",""
"Govt. College,","University of Kota, Kota","Manoharthana,  Teh. Manoharthana,  Dist. Jhalawar-326 037,","Jhalawar","Rajasthan","2(f)","2015","Bachelor's","Government","Aided"
"Govt. College, Matanhail,","Maharshi Dayanand University, Rohtak","Tehsil Matanhail, District Jhajjar-124 106,","Jhajjar","Haryana","2(f)","2014","Bachelor's","Government","Aided"
"Govt. Commerce College","Vikram University, Ujjain","Ratlam, Dist. Ratlam","","Madhya Pradesh","2(f) and 12(B)","1982","Bachelor's","Government",""
"Govt. Commerce College","Gujarat University, Ahmedabad","Gandhinagar, Dist. Gandhinagar","","Gujarat","2(f) and 12(B)","1983","Master's","Government",""
"Govt. Commerce College","Gujarat University, Ahmedabad","Kubernagar, Ahmedabad – 382 330","","Gujarat","2(f) and 12(B)","2010","Bachelor's","Government","Aided"
"Govt. Degre College","Sri Venkateswara University, Tirupati","Palamaner, District Chittor","Chittoor","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Sri Venkateswara University, Tirupati","Udayagiri, Nellor","Sri Potti Sriramulu Nellore","Andhra Pradesh","2(f) and 12(B)","1983","Bachelor's","Government",""
"Govt. Degree College","Sri Venkateswara University, Tirupati","Rajampet, District Cuddapah","Y.S.R.","Andhra Pradesh","2(f) and 12(B)","1980","Bachelor's","Government",""
"Govt. Degree College","Sri Venkateswara University, Tirupati","Nagari, District - 517 590","Chittoor","Andhra Pradesh","2(f) and 12(B)","1978","Bachelor's","Government",""
"Govt. Degree College","Sri Venkateswara University, Tirupati","Jammalamadugu, District Cuddpah - 516 434","Y.S.R.","Andhra Pradesh","2(f) and 12(B)","1980","Bachelor's","Government",""
