"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"374","State","Rani Rashmoni Green University(formerly West Bengal Green University.)","At the premises of Singur General Degree College, Singur, Hooghly, West Bengal","712409","West Bengal","2(f)"
"375","State","Rashtrasant Tukadoji Maharaj Nagpur University","Chhatrapati Shivaji Maharaj Administrative Premises,Ravindranath Tagore Marg,Nagpur","440001","Maharashtra","2(f) & 12(B)"
"376","State","Ravenshaw University","Cuttack","753003","Odisha","2(f) & 12(B)"
"377","State","Rayalaseema University","Nandyala Road,Kurnool","518002","Andhra Pradesh","2(f) & 12(B)"
"378","State","Sadhu Ram Chand Murmu University of Jhargram( formerly Jhargram University)","Jhargram Raj College, Jhagram","721507","West Bengal","2(f)"
"379","State","Sambalpur University","Jyoti Vihar, Burla, Sambalpur","768019","Odisha","2(f) & 12(B)"
"380","State","Sampurnanand Sanskrit Vishwavidyalaya","Varanasi - 221 002. (UP)","","Uttar Pradesh","2(f) & 12(B)"
"381","State","Sanchi University of Buddhist-Indic Studies","2nd Floor, Institute of Good Governance & Policy AnalysisBhadbhada Square,Bhopal","462003","Madhya Pradesh","2(f) & 12(B)"
"382","State","Sant Gadge Baba Amravati University","Camp, ti,Amravati-444602(M.S.)","","Maharashtra","2(f) & 12(B)"
"383","State","Sant Gahira Guru Vishwavidyalaya (formerly Sarguja University)","Sant Gahira Guru VishwavidyalayaSarguja-Ambikapur- Darripara, Hospital Road Ambikapur Distt. Surguja","497001","Chhattisgarh","2(f)"
"384","State","Sardar Beant Singh State University","Pathankot Road, Bariar, Gurdaspur","143521","Punjab","2(f)"
"385","State","Sardar Krushinagar Dantiwada Agricultural University","Sardarkrushinagar Dantiwada Agricultural University, Sardarkrushinagar- 385 506, District. Banaskantha (Gujarat)Dist. Banaskantha","385506","Gujarat","2(f)"
"386","State","Sardar Patel University","Near Saheed Chowk, Nana Bazar, Vallabh Vidyanagar, Anand, GujaratAnand-388 120. (GUJARAT)","388120","Gujarat","2(f) & 12(B)"
