Name of the college,Affiliated To University,College address,District,State,Status,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,source,street,locality,landmark,pin_code,extracted_district,completeness_score,final_district,has_valid_pin,has_valid_district
"Ch. Bijendra Singh Mahavidhyalaya,","Raja Mahendra Pratap Singh State University, Aligarh","Jaithouli, Iglas,  Aligarh-202 124",,Uttar Pradesh,2(f),2015.0,Bachelor's,Non Government,Unaided,colleges,Jaithouli,Iglas,,,,0.6000000000000001,,False,True
Ch. Chandan Singh Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Makrand Nagar, Dist. Kannauj – 209 726",,Uttar Pradesh,2(f) and 12(B),2010.0,Bachelor's,Non Government,Unaided,colleges,Makrand Nagar,Dist. Kannauj – 209 726,,,,0.6000000000000001,,False,True
Ch. Charan Singh Government Degree College,"Choudhary Charan Singh University, Meerut","Chhaprauli, Baghpat – 250 617",,Uttar Pradesh,2(f) and 12(B),1997.0,Bachelor's,Government,,colleges,Chhaprauli,Baghpat – 250 617,,,,0.6000000000000001,,False,True
Ch. Charang Singh Shivden Singh College,"Dr. B.R. Ambedkar University, Agra","Inglas, District Aligarh",,Uttar Pradesh,2(f),1991.0,Bachelor's,Non Government,,colleges,Inglas,District Aligarh,,,,0.6000000000000001,,False,True
Ch. Devi Lal Memorial Engg.  College,"Chaudhary Devi Lal University, Sirsa.","Panniwala Mota, Sirsa",,Haryana,2(f),2003.0,Bachelor's,Non Government,,colleges,Panniwala Mota,Sirsa,,,,0.6000000000000001,,False,True
Ch. Devi Lal Memorial Girls College,"Kurukshetra University, Kurukshetra","Sewah, Panipat – 132 108",Panipat,Haryana,2(f) and 12(B),2004.0,Bachelor's,Non Government,Unaided,colleges,Sewah,Panipat – 132 108,,,,0.6000000000000001,Panipat,False,True
Ch. Devi Singh Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Anjani, Mainpuri – 205 001",Mainpuri,Uttar Pradesh,2(f) and 12(B),2008.0,Bachelor's,Non Government,Unaided,colleges,Anjani,Mainpuri – 205 001,,,,0.6000000000000001,Mainpuri,False,True
Ch. Gajraj Singh Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Yashoda Nagar, Rathoura, Post Tejpur, Dist. Farrukhabad – 206 451",,Uttar Pradesh,2(f) and 12(B),2007.0,Bachelor's,Non Government,Unaided,colleges,Yashoda Nagar,Rathoura,,,,0.6000000000000001,,False,True
Ch. Harchand Singh Mahavidyalaya,"Choudhary Charan Singh University, Meerut","Gothani, Bulandshahr",,Uttar Pradesh,2(f),2003.0,Bachelor's,Non Government,,colleges,Gothani,Bulandshahr,,,,0.6000000000000001,,False,True
Ch. Hari Singh Kanya Mahavidyalaya,"Choudhary Charan Singh University, Meerut","Mundi Kheri, Rampur Maniharan, Dist. Saharanpur – 247 451",,Uttar Pradesh,2(f) and 12(B),2008.0,Bachelor's,Non Government,Unaided,colleges,Mundi Kheri,Rampur Maniharan,,,,0.6000000000000001,,False,True
Ch. Indal Singh Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Lakhaiyamau, Gurusahaiganj, Dist. Kannauj – 209 722",,Uttar Pradesh,2(f),2012.0,Bachelor's,Government,Unaided,colleges,Lakhaiyamau,Gurusahaiganj,,,,0.6000000000000001,,False,True
Ch. Ishwar Singh Kanya Mahavidyalaya,"Kurukshetra University, Kurukshetra","Fatehpur, Pundari, Dist. Kaithal - 132 026",,Haryana,2(f) and 12(B),1984.0,Bachelor's,Non Government,,colleges,Fatehpur,Pundari,,,,0.6000000000000001,,False,True
Ch. Ishwar Singh Kanya Mahavidyalaya,"Kurukshetra University, Kurukshetra","Dhand- Dhadwana, Kaithal, Dist. Kaithal",,Haryana,2(f) and 12(B),1993.0,Bachelor's,Non Government,,colleges,Dhand,Dhadwana,,,,0.6000000000000001,,False,True
"Ch. J.S.S.S. Mahavidyalaya,","C.S.J.M. University,Kanpur","Lelepur, Tahpur,  Kannauj-209 723",,Uttar Pradesh,2(f),2015.0,Bachelor's,Non Government,Unaided,colleges,Lelepur,Tahpur,,,,0.6000000000000001,,False,True
Ch. Jamadar Singh Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Lalakpur Chhibramau, Distt. Kannauj – 209 728",,Uttar Pradesh,2(f) and 12(B),2005.0,Bachelor's,Non Government,,colleges,Lalakpur Chhibramau,Distt. Kannauj – 209 728,,,,0.6000000000000001,,False,True
Ch. Jamadar Singh Mahila Degree College,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Saurikh, Kannauj – 209 728",,Uttar Pradesh,2(f) and 12(B),2006.0,Bachelor's,Non Government,Unaided,colleges,Saurikh,Kannauj – 209 728,,,,0.6000000000000001,,False,True
Ch. Jaswant Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Nagla Chhote, Bharthana, Etawah – 206 242",,Uttar Pradesh,2(f) and 12(B),2007.0,Bachelor's,Non Government,Unaided,colleges,Nagla Chhote,Bharthana,,,,0.6000000000000001,,False,True
Ch. Khazan Singh Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Jurakhan Kera (Lok Nagar), Unnao – 209 801",Unnao,Uttar Pradesh,2(f) and 12(B),2009.0,Bachelor's,Non Government,Unaided,colleges,Jurakhan Kera (Lok Nagar),Unnao – 209 801,,,,0.6000000000000001,Unnao,False,True
Ch. Madhav Singh Smarak Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Awadh Nagar, Kishni, Mainpuri – 206 303",,Uttar Pradesh,2(f) and 12(B),2008.0,Bachelor's,Non Government,Unaided,colleges,Awadh Nagar,Kishni,,,,0.6000000000000001,,False,True
Ch. Mohar Singh Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Mansukhpurwa, Bariyamau, Kannauj – 209 723",,Uttar Pradesh,2(f) and 12(B),2007.0,Bachelor's,Non Government,Unaided,colleges,Mansukhpurwa,Bariyamau,,,,0.6000000000000001,,False,True
Ch. Mukhtyar Singh Yadav Degree College,"Dr. B.R. Ambedkar University, Agra","Keltha, Aliganj, Etah",,Uttar Pradesh,2(f),2004.0,Bachelor's,Non Government,,colleges,Keltha,Aliganj,,,,0.6000000000000001,,False,True
Ch. Nathu Singh Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Sahsarpur, Kumhawar, Etawah – 206 253",,Uttar Pradesh,2(f) and 12(B),2010.0,Bachelor's,Non Government,Unaided,colleges,Sahsarpur,Kumhawar,,,,0.6000000000000001,,False,True
Ch. Natthu Singh Degree College,"Dr. B.R. Ambedkar University, Agra","Bye-Pass Road, Post, Tehsil & Block - Karhal, Dist. Mainpuri – 205 264",Mainpuri,Uttar Pradesh,2(f) and 12(B),2014.0,Bachelor's,Non Government,Unaided,colleges,Bye,Pass Road,,,,0.6000000000000001,Mainpuri,False,True
Ch. Natthu Singh Yadav Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Dihuli, Barnahal, District Mainpuri",,Uttar Pradesh,2(f),2006.0,Bachelor's,Non Government,,colleges,Dihuli,Barnahal,,,,0.6000000000000001,,False,True
Ch. Nihal Singh Mahavidyalaya,"M.J.P.Rohilkhand University, Bareilly","Aimi, Pilibhit – 262 001",Pilibhit,Uttar Pradesh,2(f) and 12(B),2013.0,Bachelor's,Non Government,Unaided,colleges,Aimi,Pilibhit – 262 001,,,,0.6000000000000001,Pilibhit,False,True
Ch. Raghunath Singh Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Fatehpur Sikri Road, Kirawali, Agra",,Uttar Pradesh,2(f) and 12(B),2005.0,Master's,Non Government,Unaided,colleges,Fatehpur Sikri Road,Kirawali,,,,0.6000000000000001,,False,True
Ch. Ram Singh Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Vill. & Post – Nahal, Tehsil – Atrauli, Dist. Aligarh – 202 131",,Uttar Pradesh,2(f) and 12(B),2010.0,Bachelor's,Non Government,Unaided,colleges,Vill. & Post – Nahal,Tehsil – Atrauli,,,,0.6000000000000001,,False,True
Ch. Shiv Kumar Singh Smarak Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Dhata, Fatehpur",,Uttar Pradesh,2(f) and 12(B),2009.0,Bachelor's,Non Government,Unaided,colleges,Dhata,Fatehpur,,,,0.6000000000000001,,False,True
Ch. Shivnath Singh Shandliya (PG) College,"Choudhary Charan Singh University, Meerut","Machhra, District Meerut",,Uttar Pradesh,2(f) and 12(B),1955.0,Bachelor's,Non Government,,colleges,Machhra,District Meerut,,,,0.6000000000000001,,False,True
Ch. Shri Ram Yadav Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Patiyali, Dist. Kasganj (Kanshiram Nagar) – 207 243",,Uttar Pradesh,2(f) and 12(B),2008.0,Bachelor's,Non Government,Unaided,colleges,Patiyali,Dist. Kasganj (Kanshiram Nagar) – 207 243,,,,0.6000000000000001,,False,True
Ch. Suraj Singh Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Jagir, District Mainpuri",,Uttar Pradesh,2(f),2006.0,Bachelor's,Non Government,,colleges,Jagir,District Mainpuri,,,,0.6000000000000001,,False,True
Ch. Tarachand Janta Degree College,"Choudhary Charan Singh University, Meerut","Tagasarai, Hapur – 245 101",,Uttar Pradesh,2(f) and 12(B),2001.0,Bachelor's,Non Government,Unaided,colleges,Tagasarai,Hapur – 245 101,,,,0.6000000000000001,,False,True
Ch. Veerbhan Singh Mahavidyalaya,"Dr. B.R. Ambedkar University, Agra","Chaturipur, Dist. Mainpuri – 209 720",,Uttar Pradesh,2(f) and 12(B),2009.0,Bachelor's,Non Government,Unaided,colleges,Chaturipur,Dist. Mainpuri – 209 720,,,,0.6000000000000001,,False,True
Chadalawada Ramanamma Engineering College,"Jawaharlal Nehru Technological University, Anantpur","Chadalawada Nagar, Renigunta Road, Tirupati – 517 506",Chittoor,Andhra Pradesh,2(f) and 12(B),2004.0,Bachelor's,Non Government,Unaided,colleges,Chadalawada Nagar,Renigunta Road,,,,0.6000000000000001,Chittoor,False,True
Chaiduar College,"Gauhati University, Guwahati","Gohpur, District Sonitpur",Sonitpur,Assam,2(f) and 12(B),1967.0,Bachelor's,Non Government,,colleges,Gohpur,District Sonitpur,,,,0.6000000000000001,Sonitpur,False,True
Chaitanya Bahuuddeshiya Sanstha’s Institute of Management Studies,"Sant Gadge Baba Amravati University, Amravati","Anjangaon Bari Road, Badnera, Amravati – 444 727",,Maharashtra,2(f),2009.0,Master's,Non Government,Unaided,colleges,Anjangaon Bari Road,Badnera,,,,0.6000000000000001,,False,True
Chaitanya Bharathi Institute of Technology,"Jawaharlal Nehru Technological University, Anantpur","Vidyanagar, Pallavolu Village, Proddatur, Y.S.R. Dist. – 516 360",Y.S.R.,Andhra Pradesh,2(f) and 12(B),2008.0,Master's,Non Government,Unaided,colleges,Vidyanagar,Pallavolu Village,,,,0.6000000000000001,Y.S.R.,False,True
Chaitanya Bharti Institute of Technology,"Osmania University, Hyderabad","Gandipet, Hyderabad - 75, District Hyderabad",,Telangana,2(f) and 12(B),1979.0,Bachelor's,Non Government,,colleges,Gandipet,Hyderabad,,,,0.6000000000000001,,False,True
Chaitanya College,"Atal Bihari Vajpayee Vishwavidyalaya, Bilaspur","Pamgarh, Dist. Janjgir Champa-495 554",Janjgir - Champa,Chhattisgarh,2(f),2001.0,Bachelor's,Non Government,Unaided,colleges,Pamgarh,Dist. Janjgir Champa,,,,0.6000000000000001,Janjgir - Champa,False,True
