Name of the college,Affiliated To University,College address,District,State,Status,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,source,street,locality,landmark,pin_code,extracted_district,completeness_score,final_district,has_valid_pin,has_valid_district
"Aldel Education Trust’s St. John College of Humanities & Science, St. John Technical and Educational Campus,","University of Mumbai, Mumbai ","Vevoor, Manor Road, Palghar (East), District Palghar-401 404",Palghar,Maharashtra,2(f),2011.0,Bachelor's,Non-Government,Unaided,colleges,Vevoor,Manor Road,,,,0.6000000000000001,Palghar,False,True
Govt Degree College,Sardar Patel University Mandi Himachal Pradesh,"Khundian, Vill: Sihoti,  PO & Tehsil Khundian,  Distt. Kangra-176 031,",Kangra,Himachal Pradesh,2(f),2014.0,Bachelor's,Government,Aided,colleges,Khundian,Vill: Sihoti,,,,0.6000000000000001,Kangra,False,True
Lachi Devi Mahila Mahavidyalaya,"V.B.S. Purvanchal University, Jaunpur","Chakhabibullah Mitthapara, Ghazipur-233227",Ghazipur,Uttar Pradesh,2(f),2016.0,Bachelor's,Non-Government,Unaided,colleges,Chakhabibullah Mitthapara,Ghazipur,,,,0.6000000000000001,Ghazipur,False,True
A M A L College,"Andhra University, Visakhapatnam","Anakapalli, District Visakhapatnam - 531 001",Visakhapatnam,Andhra Pradesh,2(f) and 12(B),1953.0,Master's,Non Government,,colleges,Anakapalli,District Visakhapatnam,,,,0.6000000000000001,Visakhapatnam,False,True
A Veeriya Vendayar Memorial Sri Pushpam College,"Bharathidasan University, Tiruchirapalli","Poondi, District Thanjavur",Thanjavur,Tamil Nadu,2(f) and 12(B),1956.0,Bachelor's,Non Government,,colleges,Poondi,District Thanjavur,,,,0.6000000000000001,Thanjavur,False,True
A. K. Singh College,"Nilamber-Pitamber University, Madininagar, Palamu","Vill. Japla, Dist. Palamau - 822 116, Jharkhand",,Jharkhand,2(f),1984.0,Bachelor's,Non Government,Unaided,colleges,Vill. Japla,Dist. Palamau,,,,0.6000000000000001,,False,True
A. V. Patel Commerce College,"Veer Narmad South Gujarat University, Surat","Bilimora, Dist. Valsad - 396 321",Valsad,Gujarat,2(f) and 12(B),1977.0,Bachelor's,Non Government,,colleges,Bilimora,Dist. Valsad,,,,0.6000000000000001,Valsad,False,True
A.B.M. College,"Ranchi University,  Ranchi","Singhbhum, Dist. Purbi Singhbhum",Purbi Singhbhum,Jharkhand,2(f) and 12(B),1981.0,Bachelor's,Government,,colleges,Singhbhum,Dist. Purbi Singhbhum,,,,0.6000000000000001,Purbi Singhbhum,False,True
A.B.M. Degree College,"Acharya Nagarjuna University, Nagarjuna Nagar","Ongole, District Prakasam",Prakasam,Andhra Pradesh,2(f) and 12(B),1981.0,Bachelor's,Non Government,,colleges,Ongole,District Prakasam,,,,0.6000000000000001,Prakasam,False,True
A.B.N & P.R.R. College,"Adikavi Nannaya University, Rajahmundry","Kovvur – 534 350, W.G. Dist., Andhra Pradesh",,Andhra Pradesh,2(f),1999.0,Master's,Non Government,Unaided,colleges,Kovvur – 534 350,W.G. Dist.,,,,0.6000000000000001,,False,True
A.B.R. College of Engineering & Technology,"Jawaharlal Nehru Technological University, Kakinada","Chinairlapadu (V),  Kangiri(M),  Dt. Prakasam-523 254",,Andhra Pradesh,2(f),2008.0,Master's,Non Government,Unaided,colleges,Chinairlapadu (V),Kangiri(M),,,,0.6000000000000001,,False,True
A.B.R.L. Degree College,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Githini, Chandhar, Sant Kabir Nagar",Sant Kabir Nagar,Uttar Pradesh,2(f) and 12(B),2006.0,Bachelor's,Non Government,,colleges,Githini,Chandhar,,,,0.6000000000000001,Sant Kabir Nagar,False,True
A.C.T. College of Engineering and Technology,"Anna University, Chennai","Bukkathurai-Uthiramerur High Road, Nelvoy Village, Manduranthagam Taluk, Dist. Kancheepuram – 603 107",Kancheepuram,Tamil Nadu,2(f),2008.0,Bachelor's,Non Government,Unaided,colleges,Bukkathurai,Uthiramerur High Road,,,,0.6000000000000001,Kancheepuram,False,True
A.D. Biligowda First Grade College,"Mysore University, Mysore","Koppa, Dist. Mandya",Mandya,Karnataka,2(f) and 12(B),1992.0,Bachelor's,Non Government,,colleges,Koppa,Dist. Mandya,,,,0.6000000000000001,Mandya,False,True
A.D. Mahavidyalaya,"Utkal  University,  Bhubaneswar","Brahmagiri, Puri, District Puri",Puri,Odisha,2(f) and 12(B),1986.0,Bachelor's,Non Government,,colleges,Brahmagiri,Puri,,,,0.6000000000000001,Puri,False,True
A.D. Patel Institute of Technology,"Gujarat Technological University,  Ahmedabad","P.O. Box No. 52, Vitthal Udyognagar, New Vallabh Vidyanagar – 388 121",,Gujarat,2(f),2000.0,Bachelor's,Non Government,Unaided,colleges,P.O. Box No. 52,Vitthal Udyognagar,,,,0.6000000000000001,,False,True
A.D.M. College for Women,"Bharathidasan University, Tiruchirapalli","Nagapattinam, District Quaide-E-Milleth",Nagapattinam,Tamil Nadu,2(f) and 12(B),1975.0,Bachelor's,Non Government,,colleges,Nagapattinam,District Quaide,,,,0.6000000000000001,Nagapattinam,False,True
A.D.P. College,"Gauhati University, Guwahati","Nowgong, District Nagon",Nagaon,Assam,2(f) and 12(B),1956.0,Bachelor's,Non Government,,colleges,Nowgong,District Nagon,,,,0.6000000000000001,Nagaon,False,True
A.D.V.S. First Grade College,"Kuvempu University, Shankaraghatta","Sasvehally, Honnali Taluk, Dist. Devangere",Davanagere,Karnataka,2(f) and 12(B),1990.0,Bachelor's,Non Government,,colleges,Sasvehally,Honnali Taluk,,,,0.6000000000000001,Davanagere,False,True
A.E.S. College,"Sambalpur University, Sambalpur","Tarbha-767 016, District Sonepur",Sonbhadra,Odisha,2(f) and 12(B),1989.0,Bachelor's,Non Government,,colleges,Tarbha,767 016,,,,0.6000000000000001,Sonbhadra,False,True
A.E.S. National College,"Bangalore University, Bangalore","Gawribidanur, Dist. Kolar - 561 208",Kolar,Karnataka,2(f) and 12(B),1964.0,Bachelor's,Non Government,,colleges,Gawribidanur,Dist. Kolar,,,,0.6000000000000001,Kolar,False,True
"A.G Padmavathi College of Nursing,","Pondicherry University, Pondicherry","No. 142/3, Savarayalu Reddy Road, Bahour, Bahour Commune, Pondicherry – 607 402",,Puducherry,2(f),2013.0,Bachelor's,Non Government,Unaided,colleges,No. 142/3,Savarayalu Reddy Road,,,,0.6000000000000001,,False,True
A.G. Hashmi Degree College,"Siddharth University, Kapilvastu","Utraula, Dist. Balrampur - 271 307",Balrampur,Uttar Pradesh,2(f),2016.0,Bachelor's,Non Government,Unaided,colleges,Utraula,Dist. Balrampur,,,,0.6000000000000001,Balrampur,False,True
A.G.K.M. College,"Acharya Nagarjuna University, Nagarjuna Nagar","Sattenapalli, District Guntur - 522 403",Guntur,Andhra Pradesh,2(f) and 12(B),1978.0,Bachelor's,Non Government,,colleges,Sattenapalli,District Guntur,,,,0.6000000000000001,Guntur,False,True
A.I. Jat Heroe's Memorial College,"Maharishi Dayanand  University, Rohtak","Rohtak, Dist. Rohtak",Rohtak,Haryana,2(f) and 12(B),1944.0,Bachelor's,Non Government,,colleges,Rohtak,Dist. Rohtak,,,,0.6000000000000001,Rohtak,False,True
A.J. College of Education,"Krishna University, Machllipatanam","Machilipatnam, District Krishna - 522 403",Krishna,Andhra Pradesh,2(f) and 12(B),1967.0,Bachelor's,Non Government,,colleges,Machilipatnam,District Krishna,,,,0.6000000000000001,Krishna,False,True
A.J. Institute of Management,"Mangalore University, Mangalagangothri","Kottara Chowki, Bypass Road, Ashoknagar Post, Opp. Mahindra Showroom, Mangalore – 575 006",,Karnataka,2(f) and 12(B),1999.0,Master's,Non Government,Unaided,colleges,Kottara Chowki,Bypass Road,,,,0.6000000000000001,,False,True
A.J. Kalasala,"Krishna University, Machllipatanam","Machilipatnam, District Krishna - 521 001",Krishna,Andhra Pradesh,2(f) and 12(B),1949.0,Bachelor's,Non Government,,colleges,Machilipatnam,District Krishna,,,,0.6000000000000001,Krishna,False,True
A.J.K. College of Arts & Science,"Bharathiar University, Coimbatore","Palakkad Main Road, Navakkarai, Coimbatore – 641 105",Coimbatore,Tamil Nadu,2(f) and 12(B),2007.0,Master's,Non Government,Unaided,colleges,Palakkad Main Road,Navakkarai,,,,0.6000000000000001,Coimbatore,False,True
A.K. (PG) College,"Dr. B.R. Ambedkar University, Agra","Shikohabad, District Firozabad",Firozabad,Uttar Pradesh,2(f) and 12(B),1916.0,Master's,Non Government,,colleges,Shikohabad,District Firozabad,,,,0.6000000000000001,Firozabad,False,True
A.K.K. New Law Academy,"Savitribai Phule Pune University, Pune","K.B. Hidayatullah Road, Azam Campus, Camp, Pune-411 001",Pune,Maharashtra,2(f) and 12(B),1994.0,Bachelor's,Non Government,,colleges,K.B. Hidayatullah Road,Azam Campus,,,,0.6000000000000001,Pune,False,True
A.K.P. Degree College,"Choudhary Charan Singh University, Meerut","Khuria, District Bulandshahr - 203 131",Bulandshahr,Uttar Pradesh,2(f) and 12(B),1966.0,Master's,Non Government,,colleges,Khuria,District Bulandshahr,,,,0.6000000000000001,Bulandshahr,False,True
A.L. Choudhury College,"Assam University, Silchar","Algapur, P.O. Kalibari Bazar, Dist. Hailakandi – 788 150",Hailakandi,Assam,2(f) and 12(B),1996.0,Bachelor's,Non Government,Aided,colleges,Algapur,P.O. Kalibari Bazar,,,,0.6000000000000001,Hailakandi,False,True
A.M Reddy Memorial College of Pharmacy,"Acharya Nagarjuna University, Guntur","Vinukonda Road,  Mastan Reddy Nagar,  Petlurivaripalem, Narasaraopet,  Guntur-522 601,  Andhra Pradesh",,Andhra Pradesh,2(f),2004.0,Bachelor's,Non Government,Unaided,colleges,Vinukonda Road,Mastan Reddy Nagar,,,,0.6000000000000001,,False,True
A.M. College,"Magadh University, Bodh Gaya","Gaya, District Gaya",Gaya,Bihar,2(f) and 12(B),1964.0,Master's,Government,,colleges,Gaya,District Gaya,,,,0.6000000000000001,Gaya,False,True
A.M. College of Education,"Savitribai Phule Pune University, Pune","Aisha Nagar, Malegaon - 423 203, Dist. Nashik",Nashik,Maharashtra,2(f),2004.0,Bachelor's,Non Government,Unaided,colleges,Aisha Nagar,Malegaon,,,,0.6000000000000001,Nashik,False,True
A.M. College of Law.,"Dr. B.R. Ambedkar University, Agra","Daddi Gadi, Semri, Chhata, Mathura – 281 101.",Mathura,Uttar Pradesh,2(f),2013.0,Bachelor's,Non Government,Unaided,colleges,Daddi Gadi,Semri,,,,0.6000000000000001,Mathura,False,True
"A.M. Reddy Memorial College of Engineering and Technology (HM),","Jawaharlal Nehru Technological University, Kakinada","Vinukonda Road, Mastan Reddy Nagar,  Petlurivaripalem, Narasaraopet,  District Palnadu-522 601,",,Andhra Pradesh,2(f),2007.0,Master's,Non Government,Unaided,colleges,Vinukonda Road,Mastan Reddy Nagar,,,,0.6000000000000001,,False,True
A.M.C.S. College,"Berhampur University, Berhampur","Tikabali, Dist. Kandhamal – 762 010",Kandhamal,Odisha,2(f) and 12(B),1991.0,Bachelor's,Non Government,Aided,colleges,Tikabali,Dist. Kandhamal – 762 010,,,,0.6000000000000001,Kandhamal,False,True
A.M.P. law College,"Saurashtra University, Rajkot","Rajkot, Dist. Rajkot",Rajkot,Gujarat,2(f) and 12(B),1978.0,Master's,Government,,colleges,Rajkot,Dist. Rajkot,,,,0.6000000000000001,Rajkot,False,True
A.N. College,"Patliputra University, Patna","Patna, District Patna",Patna,Bihar,2(f) and 12(B),1961.0,Master's,Constituent,Aided,colleges,Patna,District Patna,,,,0.6000000000000001,Patna,False,True
A.N. Varadarjula First Grade College,"Mysore University, Mysore","Gorur, Dist. Hussan",Hassan,Karnataka,2(f) and 12(B),1984.0,Bachelor's,Non Government,,colleges,Gorur,Dist. Hussan,,,,0.6000000000000001,Hassan,False,True
A.N.D. College,"Lalit Narayan Mithila University, Darbhanga","Shahpurpatori, Samastipur, District Samastipur",Samastipur,Bihar,2(f) and 12(B),1960.0,Bachelor's,Government,,colleges,Shahpurpatori,Samastipur,,,,0.6000000000000001,Samastipur,False,True
A.N.D. Teachers' Training College,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Sitapur, District Sitapur",Sitapur,Uttar Pradesh,2(f) and 12(B),1972.0,Bachelor's,Non Government,,colleges,Sitapur,District Sitapur,,,,0.6000000000000001,Sitapur,False,True
A.N.P. Sanskrit Mahavidyalaya,"K.S.Darbhanga Sanskrit Vishwavidyalaya, Darbhanga","Rahna Sangam, District Madhubani - 847 408",Madhubani,Bihar,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Rahna Sangam,District Madhubani,,,,0.6000000000000001,Madhubani,False,True
A.N.R. College,"Krishna University, Machllipatanam","Gudivada, District Krishna - 521 301",Krishna,Andhra Pradesh,2(f) and 12(B),1950.0,Master's,Non Government,,colleges,Gudivada,District Krishna,,,,0.6000000000000001,Krishna,False,True
A.N.S. College,"Magadh University, Bodh Gaya","Mabinagar(Gaya), District Aurangabad",Aurangabad,Bihar,2(f) and 12(B),1970.0,Bachelor's,Government,,colleges,Mabinagar(Gaya),District Aurangabad,,,,0.6000000000000001,Aurangabad,False,True
A.N.S. College,"Magadh University, Bodh Gaya","Barh, Patna, District Patna",Patna,Bihar,2(f) and 12(B),1951.0,Master's,Government,,colleges,Barh,Patna,,,,0.6000000000000001,Patna,False,True
A.P. Gupta Awam Srimati Geeta Devi Mahila Mahavidyalaya,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Kasba Sangrampur, Unawal, Gorakhpur – 273 406",Gorakhpur,Uttar Pradesh,2(f) and 12(B),2009.0,Bachelor's,Non Government,Unaided,colleges,Kasba Sangrampur,Unawal,,,,0.6000000000000001,Gorakhpur,False,True
A.P. Mahavidyalaya,"Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Village + Post – Laxmipur, Tehsil - Padrauna, Dist. Kushinagar – 274 303",Kushinagar,Uttar Pradesh,2(f),2017.0,Bachelor's,Non Government,Unaided,colleges,Village + Post – Laxmipur,Tehsil,,,,0.6000000000000001,Kushinagar,False,True
A.P. Residential Degree College,"Acharya Nagarjuna University, Nagarjuna Nagar","Nagarjunasagar, Vijayapuri South, District Guntur",Guntur,Andhra Pradesh,2(f) and 12(B),1982.0,Bachelor's,Non Government,,colleges,Nagarjunasagar,Vijayapuri South,,,,0.6000000000000001,Guntur,False,True
A.P. Sen Memorial Girls College,"Lucknow University, Lucknow","Charbagh, District Lucknow - 226 001",Lucknow,Uttar Pradesh,2(f) and 12(B),1955.0,Bachelor's,Non Government,,colleges,Charbagh,District Lucknow,,,,0.6000000000000001,Lucknow,False,True
A.P. Singh Mahavidyalaya,"Prof. Rajendra Singh (Rajju Bhaiya) University, Prayagraj","Maharajpur, Hathigawan, Kunda, Dist. Pratapgarh – 230 201",Pratapgarh,Uttar Pradesh,2(f),2014.0,Bachelor's,Non Government,Unaided,colleges,Maharajpur,Hathigawan,,,,0.6000000000000001,Pratapgarh,False,True
A.P.A. College for Women,"Madurai Kamaraj University, Madurai","Palani, District Dindigul - 624 615",,Tamil Nadu,2(f) and 12(B),1970.0,Master's,Non Government,,colleges,Palani,District Dindigul,,,,0.6000000000000001,,False,True
A.P.C. Mahalaxmi College for women,"Manonmaniam Sundaranar University, Tirunelveli","Tuticorin, District Tuticorin - 628 016",,Tamil Nadu,2(f) and 12(B),1973.0,Master's,Non Government,Aided,colleges,Tuticorin,District Tuticorin,,,,0.6000000000000001,,False,True
A.P.S. Mahavidyalaya,"Dr Ram Manohar Lohia Awadh University, Faizabad","Chakrasenpur (Anand Nagar), District Ambedkar Nagar – 224 168",,Uttar Pradesh,2(f) and 12(B),2008.0,Bachelor's,Non Government,Unaided,colleges,Chakrasenpur (Anand Nagar),District Ambedkar Nagar – 224 168,,,,0.6000000000000001,,False,True
A.R. Burla Mahila Varishtha Mahavidyalaya,"Solapur University, Solapur","213, Sakhar Peth, (Ashikal Maidan), Solapur – 413 005",Solapur,Maharashtra,2(f) and 12(B),1990.0,Bachelor's,Non Government,Aided,colleges,213,Sakhar Peth,,,,0.6000000000000001,Solapur,False,True
A.R. Govindaswamy College of Arts and Commerce,"Kuvempu University, Shankaraghatta","Davangere, Dist. Davangere",Davanagere,Karnataka,2(f) and 12(B),1974.0,Bachelor's,Non Government,,colleges,Davangere,Dist. Davangere,,,,0.6000000000000001,Davanagere,False,True
A.R.C. Degree College,"Siddharth University, Kapilvastu","Vill. & Post - Mooradiha Bage, Dist. Sant Kabir Nagar - 272 125",Sant Kabir Nagar,Uttar Pradesh,2(f),2014.0,Bachelor's,Non Government,Unaided,colleges,Vill. & Post,Mooradiha Bage,,,,0.6000000000000001,Sant Kabir Nagar,False,True
A.R.M. First Grade College,"Davangere University, Davangere","S. Nijalingappa Layout, Davangere - 577 004",Davanagere,Karnataka,2(f),1990.0,Bachelor's,Non Government,Aided,colleges,S. Nijalingappa Layout,Davangere,,,,0.6000000000000001,Davanagere,False,True
A.R.S. Shakhida Arts & C.C. Gediwala Commerce & C.C. Home Science College,"Saurashtra University, Rajkot","Linbdi, Dist. Surendranagar",,Gujarat,2(f) and 12(B),1972.0,Bachelor's,Non Government,,colleges,Linbdi,Dist. Surendranagar,,,,0.6000000000000001,,False,True
A.S. College,"Veer Kunwar Singh University, Arrah","Bikaramganj, Dist. Rohatas",Rohtas,Bihar,2(f) and 12(B),1958.0,Bachelor's,Government,,colleges,Bikaramganj,Dist. Rohatas,,,,0.6000000000000001,Rohtas,False,True
A.S. College,"Kashmir University, Srinagar","Srinagar, Dist. Srinagar",Kashmir,Jammu and Kashmir,2(f) and 12(B),1942.0,Bachelor's,Government,,colleges,Srinagar,Dist. Srinagar,,,,0.6000000000000001,Kashmir,False,True
A.S. College,"Punjab University, Chandigarh","Khanna, District Ludhiana - 141 401",Ludhiana,Punjab,2(f) and 12(B),1946.0,Master's,Non Government,Aided,colleges,Khanna,District Ludhiana,,,,0.6000000000000001,Ludhiana,False,True
A.S. College for Women,"Punjab University, Chandigarh","Khanna, District Ludhiana",Ludhiana,Punjab,2(f) and 12(B),1973.0,Bachelor's,Non Government,,colleges,Khanna,District Ludhiana,,,,0.6000000000000001,Ludhiana,False,True
A.S. Degree College,"Choudhary Charan Singh University, Meerut","Mawana, District Meerut",,Uttar Pradesh,2(f) and 12(B),1961.0,Bachelor's,Non Government,,colleges,Mawana,District Meerut,,,,0.6000000000000001,,False,True
A.S.B.D. Memorial Degree College,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Doulatyarpur, Madhoganj, Hardoi - 241 302",Hardoi,Uttar Pradesh,2(f) and 12(B),2010.0,Bachelor's,Non Government,Unaided,colleges,Doulatyarpur,Madhoganj,,,,0.6000000000000001,Hardoi,False,True
A.S.N. Pharmacy College,"Acharya Nagarjuna University, Nagarjuna Nagar","Burripalem Road, Nelapadu, Tenali – 522 201, Dist. Guntur",Guntur,Andhra Pradesh,2(f) and 12(B),2004.0,Bachelor's,Non Government,Unaided,colleges,Burripalem Road,Nelapadu,,,,0.6000000000000001,Guntur,False,True
A.S.P. College of Commerce,"Karnataka University, Dharwad","Bijapur, Dist. Bijapur",,Karnataka,2(f) and 12(B),1961.0,Bachelor's,Non Government,,colleges,Bijapur,Dist. Bijapur,,,,0.6000000000000001,,False,True
A.S.S. Ayurved College,"Rajiv Gandhi University of Health Science, Bangalore","Hubli - 24,",,Karnataka,2(f) and 12(B),1970.0,Bachelor's,Non Government,,colleges,Hubli,24,,,,0.6000000000000001,,False,True
"A.S.S.P. Mandal’s Maharaj J.P. Valvi Arts, Commerce & Shri. V.K.Kulkarni Science College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Dhadgaon- 425414,Taluka – Akrani, District Nandurbar",,Maharashtra,2(f) and 12(B),1993.0,Bachelor's,Non Government,Aided,colleges,Dhadgaon,Taluka – Akrani,,,,0.6000000000000001,,False,True
A.U. College of Engineering,"Andhra University, Visakhapatnam",Visakhapatnam – 530 003,Visakhapatnam,Andhra Pradesh,2(f) and 12(B),1933.0,Master's,Constituent,,colleges,Visakhapatnam – 530 003,,,,,0.2,Visakhapatnam,False,True
A.V. College of Science Arts & Commerce,"Osmania University, Hyderabad","PG Centre, Gayan Mahal, District Hyderabad 500 029",,Telangana,2(f) and 12(B),1968.0,Master's,Non Government,,colleges,PG Centre,Gayan Mahal,,,,0.6000000000000001,,False,True
A.V. Kamalamma College for Women,"Kuvempu University, Shankaraghatta","Davangere -2, Dist. Davangere",Davanagere,Karnataka,2(f) and 12(B),1967.0,Bachelor's,Non Government,,colleges,Davangere,2,,,,0.6000000000000001,Davanagere,False,True
A.V. Kanthamma College for Women,"Mysore University, Mysore","Hassan, Dist. Hassan - 573 201",,Karnataka,2(f) and 12(B),1968.0,Bachelor's,Non Government,,colleges,Hassan,Dist. Hassan,,,,0.6000000000000001,,False,True
A.V.C. College,"Bharathidasan University, Tiruchirapalli","Mannampandal – 609 305, Mayiladuthurai, District:- Quaide-E-Milleth",,Tamil Nadu,2(f) and 12(B),1955.0,Master's,Non Government,Aided,colleges,Mannampandal – 609 305,Mayiladuthurai,,,,0.6000000000000001,,False,True
"A.V.P. College of Arts & Science (Co-Education),","Bharathiar University, Coimbatore","No 4, Chettipalayam, T.M Poondi (P.O.), Tirupur – 641 652,",Tirupur,Tamil Nadu,2(f),2015.0,Master's,Non Government,Unaided,colleges,No 4,Chettipalayam,,,,0.6000000000000001,Tirupur,False,True
A.V.R. & S.V.R. Engineering College,"Jawaharlal Nehru Technological University, Anantpur","NH – 18, Nannur (V), Orvakal Mandal, Kurnool Dist. – 518 002",Kurnool,Andhra Pradesh,2(f),2008.0,Master's,Non Government,Unaided,colleges,NH – 18,Nannur (V),,,,0.6000000000000001,Kurnool,False,True
A.V.V. Degree & P.G. College,"Kakatiya University, Warangal","S.V.N. Road, Warangal – 506 002",Warangal,Telangana,2(f) and 12(B),1991.0,Bachelor's,Non Government,Unaided,colleges,S.V.N. Road,Warangal – 506 002,,,,0.6000000000000001,Warangal,False,True
AAA College of Engineering and Technology,"Anna University, Chennai","Kamarajar Educational Road,  Amathur Village-626 005,  Sivakasi,  Virudhunagar District",,Tamil Nadu,2(f),2013.0,Bachelor's,Non Government,Unaided,colleges,Kamarajar Educational Road,Amathur Village,,,,0.6000000000000001,,False,True
Aadinath College of Education,"Bundelkhand University, Jhansi","Vill. Maharra, Lalitpur - 284 403",Lalitpur,Uttar Pradesh,2(f) and 12(B),2016.0,Bachelor's,Non Government,Unaided,colleges,Vill. Maharra,Lalitpur,,,,0.6000000000000001,Lalitpur,False,True
AAER’S Asian College of Science and Commerce,"Savitribai Phule Pune University, Pune","Sr. No. 28/15/16, Narhe Dhayri Road, PARI Company Chowk, Tal. Haveli, Dist. Pune-411 041",Pune,Maharashtra,2(f),2007.0,Master's,Non Government,Unaided,colleges,Sr. No. 28/15/16,Narhe Dhayri Road,,,,0.6000000000000001,Pune,False,True
Aakansha College,"Mohan Lal Sukhadia University, Udaipur","Vill. Rasulpur, Babra Marg, Meerapur, Dist. Muzaffarnagar – 251 315",Muzaffarnagar,Uttar Pradesh,2(f) and 12(B),2010.0,Bachelor's,Non Government,Unaided,colleges,Vill. Rasulpur,Babra Marg,,,,0.6000000000000001,Muzaffarnagar,False,True
Aala Hazrat Degree College,"M.J.P.Rohilkhand University, Bareilly","Nainital Road, Deoranian Baheri, Dist. Bareilly - 234 203",Bareilly,Uttar Pradesh,2(f) and 12(B),2014.0,Bachelor's,Non Government,Unaided,colleges,Nainital Road,Deoranian Baheri,,,,0.6000000000000001,Bareilly,False,True
Aaryabhatta Kala Avam Vigyan Mahavidyalaya.,"Pt. Ravishankar Shukla University, Raipur","Village - Kopra, Teh. - Rajim, Dist. Gariyaband – 493 887.",Gariaband,Chhattisgarh,2(f),2005.0,Bachelor's,Non Government,Unaided,colleges,Village,Kopra,,,,0.6000000000000001,Gariaband,False,True
Aastha Educational Institute,"Choudhary Charan Singh University, Meerut","NH-58, Delhi Meerut Road, Sikri Kalan, Modinagar, District Ghaziabad",,Uttar Pradesh,2(f),2004.0,Bachelor's,Non Government,,colleges,NH,58,,,,0.6000000000000001,,False,True
Aayojan School of Architecture,"Rajasthan Technical University,  Kota","ISI-4, RIICO Institutional Area, Sitapura, Goner Road, Near Mahatma Gandhi Hospital, Jaipur - 302 022",Jaipur,Rajasthan,2(f),1999.0,Master's,Non Government,Unaided,colleges,ISI,4,,,,0.6000000000000001,Jaipur,False,True
Aayojan School of Architecture and Design,"Savitribai Phule Pune University, Pune","Gate No. 289, Warawadi, Taluk – Purandar, Dist. Pune – 412 301",Pune,Maharashtra,2(f),2012.0,Master's,Non Government,Unaided,colleges,Gate No. 289,Warawadi,,,,0.6000000000000001,Pune,False,True
Abacus Institute of Engineering and Management,"Maulana Abul Kalam Azad University of Technology,  Kolkata","Natungram, Mogra, Hooghly – 712 148",,West Bengal,2(f),2008.0,Bachelor's,Non Government,Unaided,colleges,Natungram,Mogra,,,,0.6000000000000001,,False,True
"Abasaheb Marathe Arts and New Commerce, Science College","Mumbai University, Mumbai",Raspur (Vikhare Gothane) Dist. Ratnagiri,,Maharashtra,2(f) and 12(B),1994.0,Bachelor's,Non Government,,colleges,Raspur (Vikhare Gothane) Dist. Ratnagiri,,,,,0.2,,False,True
Abasaheb Parvekar Mahavidyalaya,"Sant Gadge Baba Amravati University, Amravati","New Power House, Pandharakawada Road, Yavatmal - 445 001",Yavatmal,Maharashtra,2(f) and 12(B),1983.0,Bachelor's,Non Government,Aided,colleges,New Power House,Pandharakawada Road,,,,0.6000000000000001,Yavatmal,False,True
Abbas Khan College for Women,"Bangalore University, Bangalore","Hazrath hameed Shah Dargha Compound O.T.C. Road, Cubbon Pet, Bangalore - 560 002",,Karnataka,2(f) and 12(B),1977.0,Bachelor's,Non Government,,colleges,Hazrath hameed Shah Dargha Compound O.T.C. Road,Cubbon Pet,,,,0.6000000000000001,,False,True
Abdul Ahad Azad Memorial Degree,"Kashmir University, Srinagar","Bemina, Dist. Srinagar",Kashmir,Jammu and Kashmir,2(f) and 12(B),1972.0,Bachelor's,Government,,colleges,Bemina,Dist. Srinagar,,,,0.6000000000000001,Kashmir,False,True
Abdul Aziz Ansari Degree College,"Veer Bahadur Singh Purvanchal University, Jaunpur","Majdeeha, Shahganj, Jaunpur-223 101",,Uttar Pradesh,2(f) and 12(B),1996.0,Bachelor's,Non Government,Unaided,colleges,Majdeeha,Shahganj,,,,0.6000000000000001,,False,True
Abdul Gaffar Mahavidyalaya,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur","Ganjmuradabad, Unnao – 209 869",Unnao,Uttar Pradesh,2(f),2014.0,Bachelor's,Non Government,Unaided,colleges,Ganjmuradabad,Unnao – 209 869,,,,0.6000000000000001,Unnao,False,True
Abdul Qaiyum Ansari College,"Magadh University, Bodh Gaya",Jehanabad - 804 408,Jehanabad,Bihar,2(f) and 12(B),1982.0,Bachelor's,Non Government,,colleges,Jehanabad,804 408,,,,0.6000000000000001,Jehanabad,False,True
Abdul Razaq Memorial Degree College,"M.J.P.Rohilkhand University, Bareilly","Shahpur Dasar, Pakwara, Dist. Sambhal - 244 001",,Uttar Pradesh,2(f) and 12(B),2015.0,Bachelor's,Non Government,Unaided,colleges,Shahpur Dasar,Pakwara,,,,0.6000000000000001,,False,True
Abdul Razzaq Degree College,"M.J.P.Rohilkhand University, Bareilly","Joya, Dist. Amroha – 244 222",,Uttar Pradesh,2(f) and 12(B),2008.0,Bachelor's,Non Government,Unaided,colleges,Joya,Dist. Amroha – 244 222,,,,0.6000000000000001,,False,True
