id,institution_type,name,address,postal_code,state,status,source_file,Name of the college,Affiliated To University,College address,District,State,Year of Estb.,Teaching Upto,Govt or Non Govt,Aided or Unaided,unique_id,latitude,longitude,address_quality,geocoding_priority,geocoding_confidence,geocoding_source
398.0,Private,Sikkim International University,"Post Office SribadamP.S. Kaluk, West SikkimSikkim-, PIN: 737121, District nan",737121.0,Sikkim,2(f),Private Uni.csv,,,,,,,,,,Private_592,27.232447,88.2521105,100,1,0.6,google
308.0,State,Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidyalaya,"Adhartal, Jabalpur-, Madhya PradeshJabalpur, PIN: 482004, District nan",482004.0,Madhya Pradesh,2(f),State Uni.csv,,,,,,,,,,State_999,23.2063705,79.94937159999999,100,1,1.0,google
32.0,State,Baba Ghulam Shah Badshah University,"Baba Ghulam Shah Badshah University, Rajouri, JK - 185234Road, Chinnai Himmat, Jammu, PIN: 185234, District nan, Jammu And Kashmir",185234.0,Jammu And Kashmir,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_723,33.3954375,74.34768749999999,100,1,0.8,google
317.0,State,National University of Advanced Legal Studies (NUALS),"HMT Colony Post Office , Kalamassery, KochiKochi-, Kerala, PIN: 682017, District nan",683503.0,Kerala,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_1008,10.0522094,76.3339664,100,1,0.8,google
330.0,State,Osmania University,"Administrative Building Osmania University Campus Hyderabad-, Telangana State, India.PIN - 500 007., PIN: 500007, District nan",500007.0,Telangana,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_1021,17.4176446,78.5431066,100,1,0.6,google
332.0,State,Palamuru University,"Ayyappa ComplexOpp. Police Head Quarters, Mahabubnagar-, PIN: 509001, District nan, Telangana",509001.0,Telangana,2(f),State Uni.csv,,,,,,,,,,State_1023,16.7495885,77.9895901,100,1,1.0,google
263.0,Private,Manipal University,"Manipal University Jaipur, Dehmi Kalan, Off Jaipur-Ajmer Expressway, Jaipur, Raj. Rajasthan .Jaipur-Ajmer ExpressJaipur, PIN: 303007, District nan",303007.0,Rajasthan,2(f),Private Uni.csv,,,,,,,,,,Private_457,26.6626828,75.1942178,100,1,0.8500000000000001,google
335.0,State,Pandit Sundarlal Sharma (Open) University,"Koni Birkona Road, Bilaspur, Chhattisgarh, Bilaspur-495001Chhattisgarh, PIN: 495001, District nan",495009.0,Chhattisgarh,2(f),State Uni.csv,,,,,,,,,,State_1026,22.1198497,82.1569492,100,1,0.8500000000000001,google
266.0,Private,Martin Luther Christian University,"Block 1, Dongktieh, Nongrah, Shillong, Meghalaya 793006Nongrah, Shillong, Meghalaya, PIN: 793006, District nan",793006.0,Meghalaya,2(f),Private Uni.csv,,,,,,,,,,Private_460,25.5722167,91.9230671,100,1,0.8,google
340.0,State,Potti Sreeramulu Telugu University,"Lalitakala -KshetramHyderabad-, PIN: 500004, District nan, Telangana",500004.0,Telangana,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_1031,18.1124372,79.01929969999999,100,1,0.6,google
344.0,State,Pt. Bhagwat Dayal Sharma University of Health Sciences,"Rohtak-124001Haryana, PIN: 124001, District nan",124001.0,Haryana,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_1035,28.8955152,76.606611,100,1,0.6,google
270.0,Private,Maulana Azad University,"Village age - Bujhawar, Tehsil sil Luni, Jodhpur - Raj.Jodhpur, PIN: 342802, District nan, Rajasthan",342802.0,Rajasthan,2(f),Private Uni.csv,,,,,,,,,,Private_464,25.9976307,73.0001334,100,1,0.8,google
233.0,Private,M.V.N. University,"74 KM Stone, NH-2, Delhi-Agra Highway, Palwal Haryana - 121105Delhi-Agra Highway, Palwal, PIN: 121105, District nan",121105.0,Haryana,2(f),Private Uni.csv,,,,,,,,,,Private_427,27.9813512,77.3365875,100,1,0.8,google
349.0,State,Punyashlok Ahilyadevi Holkar Solapur University,"Kegaon, Solapur-Pune National Highway, Solapur-, Maharashtra IndiaSolapur Pune national HighwayKegaon, Solapur- Maharashtra, PIN: 413255, District nan",413255.0,Maharashtra,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_1040,18.1636098,74.9612757,100,1,0.8500000000000001,google
474.0,Private,University of Engineering and Management,"UNIVERSITY AREA, PLOT NO. III B5, NEW TOWN, ACTION AREA III, KOLKATA 700 160, KOLKATA, KOLKATA, West Bengal, 700160Main Arterial Road East-West, New town, Action Area-III, Kolkata, PIN: 700160, District nan",700160.0,West Bengal,2(f),Private Uni.csv,,,,,,,,,,Private_668,22.5754527,88.4514018,100,1,0.8500000000000001,google
382.0,State,Sant Gadge Baba Amravati University,"Camp, ti, Amravati-444602M.S., PIN: 444602, District nan, Maharashtra",444602.0,Maharashtra,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_1073,20.9035839,77.6307018,100,1,0.6,google
389.0,State,Sardar Vallabh Bhai Patel University of Agriculture & Technology,"Modipuram, Meerut, U.P-, PIN: 250110, District nan, Uttar Pradesh",250110.0,Uttar Pradesh,2(f),State Uni.csv,,,,,,,,,,State_1080,29.0661177,77.7103995,100,1,0.6,google
465.0,Private,The Institute of Chartered Financial Analysts of India University,"Plot No. 2065, Daladali Chowk, Simalia, Near Ring Road, Ranchi-, JharkhandRanchi, PIN: 835222, District nan",835222.0,Jharkhand,2(f),Private Uni.csv,,,,,,,,,,Private_659,23.3661245,85.2326831,100,1,1.0,google
308.0,Private,Parul University,"Post Office Limda, Ta Waghodia, District Vadodara-391760Tal - WaghodiaDist. Vadodara, PIN: 391760, District nan, Gujarat",391760.0,Gujarat,2(f),Private Uni.csv,,,,,,,,,,Private_502,22.2829356,73.3631329,100,1,0.6,google
394.0,State,Shaheed Mahendra Karma Vishvidyalaya,"Dharampura 2, Jagdalpur, District t. Bastar, ChhattisgarhChhattisgarh -, PIN: 494005, District nan",494001.0,Chhattisgarh,2(f),State Uni.csv,,,,,,,,,,State_1085,19.0861377,82.0188426,100,1,1.0,google
401.0,State,Shri Govind Guru University,"Government Polytechnic Campus, RTO Road, Gadukpur, Godhra, District Panchmahal Gujarat- Gadukpur, Godhra, District Panchmahals, PIN: 389001, District nan",389001.0,Gujarat,2(f),State Uni.csv,,,,,,,,,,State_1092,22.7618954,73.6338201,100,1,0.8,google
318.0,Private,Pratap University,"Pratap University, Sunderpura Chandwaji, Delhi-Mumbai Highway, Jaipur, Rajasthan-, PIN: 303104, District nan",303104.0,Rajasthan,2(f),Private Uni.csv,,,,,,,,,,Private_512,27.2237346,75.94777549999999,100,1,0.6,google
319.0,Private,Presidency  University,"Itgalpur, Rajanakunte, Yelahanka, Bengaluru, 560064RajanakunteBangaluru, PIN: 560064, District nan, Karnataka",560064.0,Karnataka,2(f),Private Uni.csv,,,,,,,,,,Private_513,13.1154662,77.6069977,100,1,0.6,google
408.0,State,Sidho-Kanho-Birsha University,"Sidho-Kanho-Birsha University, Rachi Road, Post Office - Sainik School, District - Purulia, PIN-, West BengalRanchi Road Campus, Near Sainik School, Purulia, PIN: 723104, District nan",723104.0,West Bengal,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_1099,23.3561568,86.34147840000001,100,1,0.6,google
450.0,Private,Teerthanker Mahaveer University,"N.H.-24, Delhi Road, Moradabad - , Uttar Pradesh, PIN: 244001, District nan",244001.0,Uttar Pradesh,2(f) & 12(B),Private Uni.csv,,,,,,,,,,Private_644,28.8297499,78.7392065,100,1,1.0,google
493.0,Private,William Carey University,"Nongmensong, Umkdait, Near Border Roads Organisatio, Shillong - , Meghalaya - IndiaUmkdait, Shillong, PIN: 793019, District nan",793019.0,Meghalaya,2(f),Private Uni.csv,,,,,,,,,,Private_687,25.586804,91.9087026,100,1,0.8,google
449.0,Private,Techno India University,"EM 4, Sector V, Salt Lake, Kolkata-700091Salt LakeKolkata, PIN: 700091, District nan, West Bengal",700091.0,West Bengal,2(f),Private Uni.csv,,,,,,,,,,Private_643,22.5759407,88.42717379999999,100,1,1.0,google
45.0,State,Bharathiar University,"Bharathiar University, Marudhamalai Main Road, Coimbatore-641046PIN - 641 046.Tamil Nadu, PIN: 641046, District nan",641046.0,Tamil Nadu,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_736,11.0335438,76.88654869999999,100,1,1.0,google
227.0,Private,Lok Jagruti Kendra University,"FP No. 74, TPS No. 86, Sarkhej-okaf-Fatewadi, Makrba, District Ahmedabad, PIN: 100113, District nan, Gujarat",100113.0,Gujarat,2(f),Private Uni.csv,,,,,,,,,,Private_421,22.9848581,72.5174174,100,1,0.6,google
162.0,State,Hidayatullah National Law University,"Nava Raipur Atal Nagar, RaipurChattisgarh-, PIN: 493661, District nan, Chhattisgarh",492002.0,Chhattisgarh,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_853,21.0582119,81.71305219999999,100,1,0.6,google
163.0,State,Himachal Pradesh National Law University,"Himachal Pradesh National Law University, Ghandal. Sub Tehsil sil Dhami, Shimla, Himachal Pradesh-171014Sub-Tehsil sil Dhami, Shimla, PIN: 171014, District nan",171014.0,Himachal Pradesh,2(f),State Uni.csv,,,,,,,,,,State_854,31.1608326,77.0463577,100,1,0.8,google
104.0,Private,Desh Bhagat University,"Desh Bhagat University, Village age Saunti, Tehsil sil Amloh, District rict Fatehgarh Sahib, Punjab Mandi Gobindgarh Pb., PIN: 147203, District nan",147203.0,Punjab,2(f) & 12(B),Private Uni.csv,,,,,,,,,,Private_298,30.6154764,76.2368834,100,1,0.8,google
131.0,Private,G. D. Goenka University,"G. D. Goenka Education City, Sohna, Gurugram Road, Delhi-NCR, Haryana-, IndiaSohna Gurgaon RoadSohna, Haryana, PIN: 122103, District nan",122103.0,Haryana,2(f),Private Uni.csv,,,,,,,,,,Private_325,28.2692976,77.06656219999999,100,1,0.8,google
140.0,State,Gujarat Ayurveda University,"Gujarat Ayurved University, Opp. B Division Police Station, Guru Dwara Road, Jamnagar-361008Jamnagar-361 008, PIN: 361008, District nan",361008.0,Gujarat,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_831,22.4750606,70.0647233,100,1,1.0,google
182.0,State,Jagadguru Ramanandacharya Sanskrit University,"Bhankrota - Muhana Link Road, Madau, JaipurJaipur-, PIN: 302026, District nan, Rajasthan",302026.0,Rajasthan,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_873,26.8892685,75.68667909999999,100,1,1.0,google
135.0,State,Gauhati University,"Gopinath Bordoloi Nagar, Guwahati - KAMRUP, AssamGuwahati, PIN: 781014, District nan",781014.0,Assam,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_826,26.1647249,91.66878129999999,100,1,0.6,google
146.0,Private,Gokul Global University,"GOKUL GLOBAL UNIVERSITY, NEAR SUJANPUR PATIA, OPPOSITE IOC DEPOT, STATE HIGHWAY-41, SIDDHPUR-384151Near G. R. S. L., Sujanpur PatiaSidhpur, District - Patan, PIN: 384151, District nan, Gujarat",384151.0,Gujarat,2(f),Private Uni.csv,,,,,,,,,,Private_340,23.9599995,72.359231,100,1,0.6,google
80.0,Private,Career Point University,"Career Point University Hamirpur, Campus Bhoranj Tikker - Kharwarian, Hamirpur, H.P - Contact 91-1972-269702, 91-8261001325 Email hpcpuniverse.in, PIN: 176041, District nan, Himachal Pradesh",176041.0,Himachal Pradesh,2(f),Private Uni.csv,,,,,,,,,,Private_274,31.6218631,76.6231973,100,1,0.8,google
75.0,Private,BML Munjal University,"67th Milestone, National Highway - 8 Sidhrawali, Gurugram, Haryana -123413NH-8, Village age Sidhrawali, Gurugram, PIN: 123413, District nan",123413.0,Haryana,2(f),Private Uni.csv,,,,,,,,,,Private_269,28.4105368,76.9930888,100,1,0.8,google
118.0,State,Dr. Babasaheb AmbedkarTechnological University,"Dr. Babasaheb Ambedkar Technological University LonereVidyavihar, AP Lonere, Taluka Mangaon, District Raigad, Maharashtra, 402013Lonere-402103, Dt-Raigad., PIN: 402013, District nan",402103.0,Maharashtra,2(f) & 12(B),State Uni.csv,,,,,,,,,,State_809,18.1577411,73.32075999999999,100,1,0.6,google
230.0,Private,Lovely Professional University,"Jalandhar-Delhi G.T. Road, Phagwara, District t. Kapurthala, Punjab - 144411Ludhiana, PhagwaraDistt. Kappurthala, PIN: 144411, District nan",144411.0,Punjab,2(f),Private Uni.csv,,,,,,,,,,Private_424,30.6604908,76.2975805,100,1,0.8500000000000001,google
